category,file,frames_processed,frames_with_pose,detection_rate,error
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,114,114,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,59,59,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,201,201,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,123,123,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,141,141,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,69,69,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,65,65,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,63,63,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,61,61,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,229,229,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,421,421,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,77,77,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,94,94,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,120,120,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,70,70,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,70,70,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,84,84,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,78,78,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,73,73,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,53,53,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,82,81,98.78,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,80,80,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,138,138,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,98,98,100.0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,72,67,93.06,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_1.mp4,577,576,99.83,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_2.mp4,375,375,100.0,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_3.mp4,412,411,99.76,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_4.mp4,217,216,99.54,
barbell_biceps_curl,arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,258,258,100.0,
barbell_biceps_curl,arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,240,240,100.0,
barbell_biceps_curl,arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,300,299,99.67,
barbell_biceps_curl,arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,300,300,100.0,
barbell_biceps_curl,arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,192,166,86.46,
barbell_biceps_curl,arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,300,300,100.0,
barbell_biceps_curl,arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,192,192,100.0,
barbell_biceps_curl,arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,300,284,94.67,
barbell_biceps_curl,arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,270,263,97.41,
barbell_biceps_curl,arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,242,242,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_10.mp4,94,94,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_11.mp4,75,74,98.67,
barbell_biceps_curl,arc2_barbell_biceps_curl_13.mp4,122,122,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_18.mp4,67,67,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_19.mp4,60,60,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_20.mp4,56,12,21.43,
barbell_biceps_curl,arc2_barbell_biceps_curl_21.mp4,58,29,50.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_22.mp4,58,36,62.07,
barbell_biceps_curl,arc2_barbell_biceps_curl_27.mp4,55,39,70.91,
barbell_biceps_curl,arc2_barbell_biceps_curl_28.mp4,61,42,68.85,
barbell_biceps_curl,arc2_barbell_biceps_curl_29.mp4,58,21,36.21,
barbell_biceps_curl,arc2_barbell_biceps_curl_30.mp4,49,49,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_31.mp4,65,65,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_32.mp4,65,65,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_33.mp4,62,62,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_34.mp4,63,63,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_35.mp4,58,58,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_36.mp4,50,50,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_38.mp4,59,59,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_39.mp4,54,54,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_41.mp4,201,138,68.66,
barbell_biceps_curl,arc2_barbell_biceps_curl_43.mp4,132,131,99.24,
barbell_biceps_curl,arc2_barbell_biceps_curl_49.mp4,90,90,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_51.mp4,282,282,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_52.mp4,372,372,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_53.mp4,176,176,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_54.mp4,132,132,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_55.mp4,147,147,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_56.mp4,213,206,96.71,
barbell_biceps_curl,arc2_barbell_biceps_curl_57.mp4,234,234,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_58.mp4,162,128,79.01,
barbell_biceps_curl,arc2_barbell_biceps_curl_59.mp4,194,193,99.48,
barbell_biceps_curl,arc2_barbell_biceps_curl_6.mp4,123,122,99.19,
barbell_biceps_curl,arc2_barbell_biceps_curl_60.mp4,246,224,91.06,
barbell_biceps_curl,arc2_barbell_biceps_curl_61.mp4,70,70,100.0,
barbell_biceps_curl,arc2_barbell_biceps_curl_62.mp4,98,97,98.98,
bench_press,arc2_bench_press_1.mp4,58,57,98.28,
bench_press,arc2_bench_press_10.mp4,53,52,98.11,
bench_press,arc2_bench_press_11.mp4,39,39,100.0,
