variant,category,file,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,notes,error
original,squat,arc1_final_kaggle_with_additional_video_squat_1.MOV,6,0,-6,0.0,587,587,100.0,0,0,0,0,Front Angle Camera where the portion below knees are not recorded fully.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_1.MOV,6,0,-6,0.0,587,587,100.0,0,0,0,0,Front Angle Camera where the portion below knees are not recorded fully.,
original,squat,arc1_final_kaggle_with_additional_video_squat_10.mp4,2,1,-1,50.0,175,175,100.0,1,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_10.mp4,2,1,-1,50.0,175,175,100.0,1,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_11.mp4,1,1,0,100.0,144,144,100.0,1,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_11.mp4,1,1,0,100.0,144,144,100.0,1,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_12.mp4,1,1,0,100.0,113,113,100.0,1,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_12.mp4,1,1,0,100.0,113,113,100.0,1,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_14.mp4,1,1,0,100.0,101,101,100.0,0,1,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_14.mp4,1,1,0,100.0,101,101,100.0,1,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_15.mp4,3,2,-1,66.7,280,280,100.0,2,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_15.mp4,3,2,-1,66.7,280,280,100.0,2,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_16.mp4,1,1,0,100.0,47,47,100.0,1,0,0,0,Video started from the middle of going down.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_16.mp4,1,1,0,100.0,47,47,100.0,1,0,0,0,Video started from the middle of going down.,
original,squat,arc1_final_kaggle_with_additional_video_squat_2.MOV,4,1,-3,25.0,430,430,100.0,1,0,0,0,Feet portion not visible for the first rep. There are more individuals in the background seen in the mirrors of the gym.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_2.MOV,4,1,-3,25.0,430,430,100.0,1,0,0,0,Feet portion not visible for the first rep. There are more individuals in the background seen in the mirrors of the gym.,
original,squat,arc1_final_kaggle_with_additional_video_squat_20.mp4,2,2,0,100.0,233,233,100.0,2,0,0,0,Front Angle. Camera Angle keeps moving up and down with the person.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_20.mp4,2,2,0,100.0,233,233,100.0,2,0,0,0,Front Angle. Camera Angle keeps moving up and down with the person.,
original,squat,arc1_final_kaggle_with_additional_video_squat_21.mp4,4,4,0,100.0,274,274,100.0,1,1,2,0,Video Cuts on the 5th rep,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_21.mp4,4,4,0,100.0,274,274,100.0,1,1,2,0,Video Cuts on the 5th rep,
original,squat,arc1_final_kaggle_with_additional_video_squat_22.mp4,3,0,-3,0.0,378,378,100.0,0,0,0,0,Knees not visible at all in the video,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_22.mp4,3,0,-3,0.0,378,378,100.0,0,0,0,0,Knees not visible at all in the video,
original,squat,arc1_final_kaggle_with_additional_video_squat_23.mp4,2,2,0,100.0,432,431,99.8,2,0,0,0,Front angle,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_23.mp4,2,2,0,100.0,432,431,99.8,2,0,0,0,Front angle,
original,squat,arc1_final_kaggle_with_additional_video_squat_24.mp4,3,0,-3,0.0,647,647,100.0,0,0,0,0,Front angle with a zoom on the upper body and camera moves up and down with the person. Making the knees visible only when the person comes all the way down.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_24.mp4,3,0,-3,0.0,647,647,100.0,0,0,0,0,Front angle with a zoom on the upper body and camera moves up and down with the person. Making the knees visible only when the person comes all the way down.,
original,squat,arc1_final_kaggle_with_additional_video_squat_25.mp4,3,3,0,100.0,368,368,100.0,3,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_25.mp4,3,3,0,100.0,368,368,100.0,3,0,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_3.MOV,5,3,-2,60.0,639,639,100.0,0,0,3,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_3.MOV,5,3,-2,60.0,639,639,100.0,0,1,2,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_5.MOV,4,4,0,100.0,656,656,100.0,2,2,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_5.MOV,4,4,0,100.0,656,656,100.0,2,2,0,0,,
original,squat,arc1_final_kaggle_with_additional_video_squat_7.mp4,2,0,-2,0.0,237,237,100.0,0,0,0,0,Partial reps. Not going fully down in the reps.,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_7.mp4,2,0,-2,0.0,237,237,100.0,0,0,0,0,Partial reps. Not going fully down in the reps.,
original,squat,arc1_final_kaggle_with_additional_video_squat_8.mp4,2,0,-2,0.0,360,360,100.0,0,0,0,0,,
percentile,squat,arc1_final_kaggle_with_additional_video_squat_8.mp4,2,0,-2,0.0,360,360,100.0,0,0,0,0,,
original,squat,arc1_my_test_video_1_squat_1.mp4,7,7,0,100.0,545,544,99.8,7,0,0,0,Front angle,
percentile,squat,arc1_my_test_video_1_squat_1.mp4,7,7,0,100.0,545,544,99.8,7,0,0,0,Front angle,
