category,file,exercise,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,error
squat,arc1_final_kaggle_with_additional_video_squat_1.MOV,Learned Squat,6,0,-6,0.0,587,587,100.0,0,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_10.mp4,Learned Squat,2,1,-1,50.0,175,175,100.0,1,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_11.mp4,Learned Squat,1,1,0,100.0,144,144,100.0,1,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_12.mp4,Learned Squat,1,1,0,100.0,113,113,100.0,1,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_14.mp4,Learned Squat,1,1,0,100.0,101,101,100.0,0,1,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_15.mp4,Learned Squat,3,2,-1,66.67,280,280,100.0,2,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_16.mp4,Learned Squat,1,1,0,100.0,47,47,100.0,1,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_2.MOV,Learned Squat,4,0,-4,0.0,430,430,100.0,0,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_20.mp4,Learned Squat,2,2,0,100.0,233,233,100.0,2,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_21.mp4,Learned Squat,4,4,0,100.0,274,274,100.0,0,2,2,0,
squat,arc1_final_kaggle_with_additional_video_squat_22.mp4,Learned Squat,3,0,-3,0.0,378,377,99.74,0,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_23.mp4,Learned Squat,2,2,0,100.0,432,432,100.0,2,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_24.mp4,Learned Squat,3,0,-3,0.0,647,646,99.85,0,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_25.mp4,Learned Squat,3,3,0,100.0,368,367,99.73,3,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_3.MOV,Learned Squat,5,3,-2,60.0,639,639,100.0,0,0,3,0,
squat,arc1_final_kaggle_with_additional_video_squat_5.MOV,Learned Squat,4,4,0,100.0,656,656,100.0,2,2,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_7.mp4,Learned Squat,2,0,-2,0.0,237,237,100.0,0,0,0,0,
squat,arc1_final_kaggle_with_additional_video_squat_8.mp4,Learned Squat,2,0,-2,0.0,360,360,100.0,0,0,0,0,
squat,arc1_my_test_video_1_squat_1.mp4,Learned Squat,7,7,0,100.0,545,544,99.82,7,0,0,0,
squat,arc1_my_test_video_1_squat_2.mp4,Learned Squat,6,6,0,100.0,424,424,100.0,6,0,0,0,
squat,arc1_similar_dataset_385c01f2-e604-46d4-a84b-949b733395dd.mp4,Learned Squat,1,1,0,100.0,120,120,100.0,0,1,0,0,
squat,arc1_similar_dataset_6dddd176-2460-48cf-bd01-3eaaa0dc754f.mp4,Learned Squat,3,3,0,100.0,300,299,99.67,0,3,0,0,
squat,arc1_similar_dataset_71ef5d06-bfea-449b-8ff3-b428ae7dbaa7.mp4,Learned Squat,2,2,0,100.0,240,239,99.58,0,2,0,0,
squat,arc1_similar_dataset_897f5a21-f1a1-477e-aa8b-11b7ee9378d2.mp4,Learned Squat,2,3,1,50.0,180,180,100.0,0,1,2,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c01.avi,Learned Squat,4,4,0,100.0,267,267,100.0,0,4,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c02.avi,Learned Squat,4,4,0,100.0,252,252,100.0,0,4,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c02.avi,Learned Squat,1,1,0,100.0,57,57,100.0,0,0,1,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c03.avi,Learned Squat,2,2,0,100.0,117,117,100.0,0,2,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c03.avi,Learned Squat,1,1,0,100.0,88,87,98.86,1,0,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c04.avi,Learned Squat,1,1,0,100.0,63,62,98.41,1,0,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c01.avi,Learned Squat,2,2,0,100.0,179,179,100.0,2,0,0,0,
