category,file,path,duration_s,ground_truth_reps,notes
squat,arc1_final_kaggle_with_additional_video_squat_1.MOV,Videos/squat/arc1_final_kaggle_with_additional_video_squat_1.MOV,19.58,6,Front Angle Camera where the portion below knees are not recorded fully.
squat,arc1_final_kaggle_with_additional_video_squat_10.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_10.mp4,7.3,2,
squat,arc1_final_kaggle_with_additional_video_squat_11.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_11.mp4,6.01,1,
squat,arc1_final_kaggle_with_additional_video_squat_12.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_12.mp4,4.71,1,
squat,arc1_final_kaggle_with_additional_video_squat_14.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_14.mp4,4.21,1,
squat,arc1_final_kaggle_with_additional_video_squat_15.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_15.mp4,11.68,3,
squat,arc1_final_kaggle_with_additional_video_squat_16.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_16.mp4,1.96,1,Video started from the middle of going down.
squat,arc1_final_kaggle_with_additional_video_squat_2.MOV,Videos/squat/arc1_final_kaggle_with_additional_video_squat_2.MOV,14.35,4,Feet portion not visible for the first rep. There are more individuals in the background seen in the mirrors of the gym.
squat,arc1_final_kaggle_with_additional_video_squat_20.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_20.mp4,7.77,2,Front Angle. Camera Angle keeps moving up and down with the person.
squat,arc1_final_kaggle_with_additional_video_squat_21.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_21.mp4,10.96,4,Video Cuts on the 5th rep
squat,arc1_final_kaggle_with_additional_video_squat_22.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_22.mp4,12.61,3,Knees not visible at all in the video
squat,arc1_final_kaggle_with_additional_video_squat_23.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_23.mp4,14.41,2,Front angle
squat,arc1_final_kaggle_with_additional_video_squat_24.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_24.mp4,21.59,3,Front angle with a zoom on the upper body and camera moves up and down with the person. Making the knees visible only when the person comes all the way down.
squat,arc1_final_kaggle_with_additional_video_squat_25.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_25.mp4,12.28,3,
squat,arc1_final_kaggle_with_additional_video_squat_3.MOV,Videos/squat/arc1_final_kaggle_with_additional_video_squat_3.MOV,21.32,5,
squat,arc1_final_kaggle_with_additional_video_squat_5.MOV,Videos/squat/arc1_final_kaggle_with_additional_video_squat_5.MOV,21.89,4,
squat,arc1_final_kaggle_with_additional_video_squat_7.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_7.mp4,9.48,2,Partial reps. Not going fully down in the reps.
squat,arc1_final_kaggle_with_additional_video_squat_8.mp4,Videos/squat/arc1_final_kaggle_with_additional_video_squat_8.mp4,14.4,2,
squat,arc1_my_test_video_1_squat_1.mp4,Videos/squat/arc1_my_test_video_1_squat_1.mp4,18.17,7,Front angle
squat,arc1_my_test_video_1_squat_2.mp4,Videos/squat/arc1_my_test_video_1_squat_2.mp4,14.13,6,Front angle
squat,arc1_similar_dataset_385c01f2-e604-46d4-a84b-949b733395dd.mp4,Videos/squat/arc1_similar_dataset_385c01f2-e604-46d4-a84b-949b733395dd.mp4,5.0,1,
squat,arc1_similar_dataset_6dddd176-2460-48cf-bd01-3eaaa0dc754f.mp4,Videos/squat/arc1_similar_dataset_6dddd176-2460-48cf-bd01-3eaaa0dc754f.mp4,10.0,3,Video cuts in the middle of 4th rep.
squat,arc1_similar_dataset_71ef5d06-bfea-449b-8ff3-b428ae7dbaa7.mp4,Videos/squat/arc1_similar_dataset_71ef5d06-bfea-449b-8ff3-b428ae7dbaa7.mp4,10.01,2,2 Cameras. Video cuts and changes cameras mid-rep.
squat,arc1_similar_dataset_897f5a21-f1a1-477e-aa8b-11b7ee9378d2.mp4,Videos/squat/arc1_similar_dataset_897f5a21-f1a1-477e-aa8b-11b7ee9378d2.mp4,6.0,2,
squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c01.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g01_c01.avi,10.68,4,
squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c02.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g01_c02.avi,10.08,4,
squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c02.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g02_c02.avi,2.28,1,
squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c03.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g02_c03.avi,4.68,2,
squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c03.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g04_c03.avi,3.52,1,
squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c04.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g04_c04.avi,2.52,1,
squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c01.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g06_c01.avi,7.16,2,
squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c02.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g06_c02.avi,4.88,2,
