threshold_ms,exercise,angle,distance,file,ground_truth_reps,detected_reps,count_error,accuracy_pct,rejected_fast_reps,error
100,bicepcurl,0,2m,bicepcurl_angle_0.MOV,5,6,1,80.0,0,
100,bicepcurl,45,2m,bicepcurl_angle_45.MOV,5,5,0,100.0,1,
100,bicepcurl,90,2m,bicepcurl_angle_90.MOV,5,5,0,100.0,2,
100,jumpingjacks,0,2m,jumpingjacks_angle_0.MOV,5,5,0,100.0,0,
100,jumpingjacks,45,2m,jumpingjacks_angle_45.MOV,5,5,0,100.0,1,
100,jumpingjacks,90,2m,jumpingjacks_angle_90.MOV,5,5,0,100.0,0,
100,pushup,0,2m,pushup_angle_0.MOV,5,4,-1,80.0,1,
100,pushup,45,2m,pushup_angle_45.MOV,5,4,-1,80.0,0,
100,pushup,90,2m,pushup_angle_90.MOV,5,2,-3,40.0,0,
100,squat,90,2m,squat_angle_90.MOV,5,4,-1,80.0,0,
100,squat,0,2m,squat_angle_0.mov,5,4,-1,80.0,0,
100,squat,45,2m,squat_angle_45.mov,5,5,0,100.0,0,
100,bicepcurl,0,5m,Dist_bicepcurl_angle_0.MOV,5,5,0,100.0,0,
100,bicepcurl,45,5m,Dist_bicepcurl_angle_45.MOV,5,5,0,100.0,0,
100,bicepcurl,90,5m,Dist_bicepcurl_angle_90.MOV,5,2,-3,40.0,0,
100,jumpingjacks,0,5m,Dist_jumpingjacks_angle_0.MOV,5,5,0,100.0,0,
100,jumpingjacks,45,5m,Dist_jumpingjacks_angle_45.MOV,5,5,0,100.0,0,
100,jumpingjacks,90,5m,Dist_jumpingjacks_angle_90.MOV,5,2,-3,40.0,0,
100,pushup,0,5m,Dist_pushup_angle_0.MOV,5,3,-2,60.0,0,
100,pushup,45,5m,Dist_pushup_angle_45.MOV,5,5,0,100.0,0,
100,pushup,90,5m,Dist_pushup_angle_90.MOV,5,2,-3,40.0,0,
100,squat,0,5m,Dist_squat_angle_0.MOV,5,5,0,100.0,0,
100,squat,45,5m,Dist_squat_angle_45.MOV,5,5,0,100.0,0,
100,squat,90,5m,Dist_squat_angle_90.MOV,5,5,0,100.0,0,
200,bicepcurl,0,2m,bicepcurl_angle_0.MOV,5,5,0,100.0,1,
200,bicepcurl,45,2m,bicepcurl_angle_45.MOV,5,5,0,100.0,3,
200,bicepcurl,90,2m,bicepcurl_angle_90.MOV,5,5,0,100.0,3,
200,jumpingjacks,0,2m,jumpingjacks_angle_0.MOV,5,5,0,100.0,0,
200,jumpingjacks,45,2m,jumpingjacks_angle_45.MOV,5,5,0,100.0,1,
200,jumpingjacks,90,2m,jumpingjacks_angle_90.MOV,5,5,0,100.0,0,
200,pushup,0,2m,pushup_angle_0.MOV,5,4,-1,80.0,1,
200,pushup,45,2m,pushup_angle_45.MOV,5,3,-2,60.0,1,
200,pushup,90,2m,pushup_angle_90.MOV,5,2,-3,40.0,1,
200,squat,90,2m,squat_angle_90.MOV,5,5,0,100.0,1,
200,squat,0,2m,squat_angle_0.mov,5,4,-1,80.0,0,
200,squat,45,2m,squat_angle_45.mov,5,5,0,100.0,0,
200,bicepcurl,0,5m,Dist_bicepcurl_angle_0.MOV,5,5,0,100.0,0,
200,bicepcurl,45,5m,Dist_bicepcurl_angle_45.MOV,5,5,0,100.0,0,
200,bicepcurl,90,5m,Dist_bicepcurl_angle_90.MOV,5,2,-3,40.0,0,
200,jumpingjacks,0,5m,Dist_jumpingjacks_angle_0.MOV,5,5,0,100.0,0,
200,jumpingjacks,45,5m,Dist_jumpingjacks_angle_45.MOV,5,5,0,100.0,0,
200,jumpingjacks,90,5m,Dist_jumpingjacks_angle_90.MOV,5,2,-3,40.0,0,
200,pushup,0,5m,Dist_pushup_angle_0.MOV,5,3,-2,60.0,0,
200,pushup,45,5m,Dist_pushup_angle_45.MOV,5,5,0,100.0,0,
200,pushup,90,5m,Dist_pushup_angle_90.MOV,5,1,-4,20.0,0,
200,squat,0,5m,Dist_squat_angle_0.MOV,5,5,0,100.0,0,
200,squat,45,5m,Dist_squat_angle_45.MOV,5,5,0,100.0,0,
200,squat,90,5m,Dist_squat_angle_90.MOV,5,5,0,100.0,0,
400,bicepcurl,0,2m,bicepcurl_angle_0.MOV,5,5,0,100.0,1,
400,bicepcurl,45,2m,bicepcurl_angle_45.MOV,5,5,0,100.0,5,
400,bicepcurl,90,2m,bicepcurl_angle_90.MOV,5,4,-1,80.0,0,
400,jumpingjacks,0,2m,jumpingjacks_angle_0.MOV,5,1,-4,20.0,4,
400,jumpingjacks,45,2m,jumpingjacks_angle_45.MOV,5,4,-1,80.0,2,
